entity,start_char,end_char,label
21st OF MARCH 2010,111,129,DATE
C MATHEW,144,152,PERSON
first,211,216,ORDINAL
L GOPINATH S,238,250,PERSON
G LAKSHMI NARISIMHAN,256,276,ORG
second,307,313,ORDINAL
first,356,361,ORDINAL
Flat No C,402,411,ORG
SAMS,414,418,ORG
VALLUVAR,443,451,PERSON
second,538,544,ORDINAL
monthly,575,582,DATE
monthly,632,639,DATE
second,808,814,ORDINAL
1st April 2010,865,879,DATE
monthly,942,949,DATE
Seven thousand,975,989,CARDINAL
a period of,1000,1011,DATE
11 months,1012,1021,DATE
1st of April 2010,1036,1053,DATE
5th,1087,1090,ORDINAL
calendar month,1109,1123,DATE
a period of 11 months,1176,1197,DATE
this day,1215,1223,DATE
1st of April 2010,1225,1242,DATE
monthly,1703,1710,DATE
Two months,3445,3455,DATE
two month,3736,3745,DATE
the expiry of,3829,3842,DATE
eleven months,3843,3856,DATE
one month,3858,3867,DATE
HEREUNTO,4505,4513,ORG
THE DAY AND YEAR ABOVE,4521,4543,DATE
