entity,start_char,end_char,label
Perjanjian Kontrak,18,36,PERSON
NEOH,98,102,ORG
CLEMENT NG,144,154,PERSON
BINTI,208,213,ORG
MOHD AZHARI,214,225,PERSON
Landlord,287,295,ORG
Tenant,313,319,ORG
TAMAN CHENG PERDANA,431,450,PERSON
75250,452,457,DATE
'MELAKA

',458,466,ORG
1st JANUARY 2014,512,528,DATE
1 Year,584,590,DATE
TWO MONTHS months,641,658,DATE
25 DECEMBER 2013,681,697,DATE
1st JANUARY 2014,731,747,DATE
the TWO MONTHS,1018,1032,DATE
1 Month,1043,1050,DATE
'the month of JANUARY

',1089,1111,DATE
1 bulan,1118,1125,DATE
Januari 2014,1157,1169,DATE
1 Month,1174,1181,DATE
the last month,1213,1227,DATE
1,1237,1238,CARDINAL
every first week,1339,1355,DATE
'Water, Electricity',1566,1584,ORG
Indah Water and Telephone Bills,1587,1618,FAC
RM300,1635,1640,PRODUCT
Utilities,1657,1666,ORG
first,2148,2153,ORDINAL
Tenant,2480,2486,ORG
Glue,2610,2614,ORG
Landlord,2884,2892,ORG
Segala binatang,3185,3200,PERSON
dan arnab,3243,3252,PERSON
Segala,4053,4059,PERSON
Penggunaan,4710,4720,GPE
Lilin tidak boleh,4744,4761,PERSON
Lilin,4794,4799,PERSON
Tindakan,6091,6099,PERSON
'the first month''s',7957,7974,DATE
Tidak,8950,8955,PERSON
pekerja-pekerja,8982,8997,PERSON
dan Iain-lain,10279,10292,PERSON
'Landlord/ Repr

Signature(s',11333,11360,PERSON
the Tenancy Agreement,11402,11423,LAW
Signature of,11478,11490,WORK_OF_ART
