entity,start_char,end_char,label
This HOUSE (FULLY FURNISHED,89,116,ORG
the City of Olongapo City,165,190,GPE
Philippines,192,203,GPE
'this 19th day of July, 2011',204,231,DATE
MARITES M. ALICANTE,251,270,PERSON
Filipino,295,303,LANGUAGE
50-20th,350,357,DATE
Jonson St.,358,368,PERSON
Olongapo City,389,402,GPE
JASMIN B. BAKER,452,467,PERSON
EDWARD RAY BAKER,472,488,PERSON
JR,490,492,PERSON
Phase 1,560,567,ORG
Magdalena Homes,584,599,ORG
Tomas,606,611,PERSON
Subic,613,618,GPE
Zambales,620,628,GPE
WITNESSETH,672,682,PERSON
LANDLORD,703,711,ORG
HOUSE,728,733,ORG
Phase 1,789,796,FAC
Magdalena Homes,813,828,ORG
Tomas,835,840,PERSON
Suibc,842,847,ORG
Zambales,849,857,GPE
LANDLORD,1048,1056,ORG
THREE,1602,1607,CARDINAL
3) MONTHS,1609,1618,DATE
16 July 2011,1625,1637,DATE
October 2011,1644,1656,DATE
later than seven,1881,1897,CARDINAL
7) days,1899,1906,DATE
monthly,1990,1997,DATE
TWENTY-TWO THOUSAND,2054,2073,CARDINAL
Philippine Currency,2089,2108,ORG
month,2258,2263,DATE
two,2276,2279,CARDINAL
months,2284,2290,DATE
'August 6, 2011',2337,2351,DATE
THREE,2392,2397,CARDINAL
MONTHS,2402,2408,DATE
PESOS,2423,2428,CARDINAL
SIXTY-SIX THOUSAND,2430,2448,CARDINAL
6 August 2011,2580,2593,DATE
two,2609,2612,CARDINAL
months,2617,2623,DATE
two,2899,2902,CARDINAL
monthly,2913,2920,DATE
LANDLORD,2997,3005,ORG
21 days,3304,3311,DATE
monthly,3668,3675,DATE
16 August 2011,3730,3744,DATE
TWENTY-TWO THOUSAND PESOS,3762,3787,CARDINAL
LANDLORD,4026,4034,ORG
One,4119,4122,CARDINAL
14 days,4939,4946,DATE
Annex,5361,5366,ORG
first,6155,6160,ORDINAL
normal business hours,6562,6583,TIME
at least 24 hours,6622,6639,TIME
7 days,6986,6992,DATE
LANDLORD,7003,7011,ORG
those many days,7127,7142,DATE
24 hours,7323,7331,TIME
-removing,7369,7378,GPE
LANDLORD,7514,7522,ORG
any reasonable hour,8826,8845,TIME
Twenty Five,9690,9701,CARDINAL
this House (Fully Furnished) Lease/Rental Agreement,9894,9945,ORG
This HOUSE (FULLY FURNISHED,10652,10679,ORG
19 July 2011,10858,10870,DATE
Olongapo City,10874,10887,GPE
Philippines,10889,10900,GPE
'MARITES M. ALICANTE

',10904,10925,PERSON
EDWARD RAY BAKER,10935,10951,PERSON
Philippines,11027,11038,GPE
Olongapo City,11041,11054,GPE
'MARITES M. ALICANTE		 	

',11138,11163,PERSON
'JASMIN B. BAKER		 	

EDWARD RAY BAKER		 	

',11163,11206,PERSON
four,11405,11409,CARDINAL
4,11411,11412,CARDINAL
first,11659,11664,ORDINAL
Series,11730,11736,EVENT
2011,11740,11744,DATE
