entity,start_char,end_char,label
Bangalore,65,74,GPE
this 1st day,78,90,DATE
'April,2009(01-04-2009',94,115,DATE
Parasu Ram Mishra,139,156,PERSON
15/5/2,163,169,CARDINAL
KAUSTHUBHA,170,180,PERSON
'WEST MUMBAI -70

',213,230,GPE
Hereinafter,230,241,PERSON
one,273,276,CARDINAL
'P.Gangadhar

',305,318,PERSON
Gold Hill Unit,350,364,ORG
169,365,368,CARDINAL
'Hubli Road

',370,382,FAC
'-68

',402,407,PERSON
Hereinafter,407,418,PERSON
K.P.H.B COLONY B.T.M - STAGE 2,733,763,PERSON
'WEST MUMBAI -70

',765,782,GPE
monthly,1038,1045,DATE
monthly,1203,1210,DATE
5th,1232,1235,ORDINAL
months,1451,1457,DATE
every 11 months,1568,1583,DATE
5%,1586,1588,PERCENT
Sixty thousand,2010,2024,CARDINAL
one month,2465,2474,DATE
one month,2556,2565,DATE
any reasonable hours,2695,2715,TIME
one month,2756,2765,DATE
one,2901,2904,CARDINAL
one,2910,2913,CARDINAL
one,2939,2942,CARDINAL
two,2956,2959,CARDINAL
electricity.R.C.C.roofed,2988,3012,PRODUCT
first,3022,3027,ORDINAL
'fixtures:-

',3052,3064,PERSON
Tubelights	- 4,3077,3091,PERSON
the day month and year,3211,3233,DATE
