entity,start_char,end_char,label
'Lesconcierges Help Desk” ©

',3,31,WORK_OF_ART
'Desk Name

Value',223,239,PERSON
50 or 100 or 200,264,280,CARDINAL
01-04-2014,324,334,DATE
Monthly Rent,336,348,ORG
EIGHT THOUSAND,374,388,CARDINAL
FIFTY THOUSAND,447,461,CARDINAL
6,468,469,CARDINAL
SHIVANAND,498,507,ORG
'17,6th',511,517,CARDINAL
'MAIN,2nd CROSS',518,532,ORG
'VINAYAKA

LAYOUT',533,549,PRODUCT
CHINNAPANNAHALLI,550,566,ORG
MARATHAHALLI,567,579,PERSON
VIVEK CHANDRA MALLIK,627,647,PERSON
1st FLOOR,649,658,ORG
'17,6th',662,668,CARDINAL
'MAIN,2nd CROSS',669,683,ORG
VINAYAKA LAYOUT,684,699,ORG
CHINNAPANNAHLLI.MARATHAHALLI,700,728,PERSON
'BANGALORE-560037

',729,747,ORG
1st FLOOR,836,845,ORG
VINAYAKA,872,880,ORG
LAYOUT,881,887,ORG
CHINNAPANNAHLLI.MARATHAHALLI,888,916,PERSON
'BANGALORE-560037

',917,935,PERSON
Fans:-	2,969,977,FAC
Rs,1105,1107,PERSON
300/-(for,1183,1192,CARDINAL
2working days,1224,1237,DATE
'20,000',1404,1410,CARDINAL
50.000,1481,1487,CARDINAL
100/-,1492,1497,CARDINAL
