entity,start_char,end_char,label
Bangalore,115,124,GPE
today,138,143,DATE
May 2010,157,165,DATE
1,183,184,CARDINAL
Balaji,190,196,PERSON
about 63 years,205,219,DATE
2nd Cross,228,237,ORG
SBM Colony,239,249,ORG
Hereinafter,270,281,PERSON
First,325,330,ORDINAL
one,339,342,CARDINAL
1,359,360,CARDINAL
Kartheek,364,372,PERSON
about 31 years,380,394,DATE
Hereinafter,469,480,PERSON
second,525,531,ORDINAL
first,626,631,ORDINAL
second,762,768,ORDINAL
'Rs.40,000/- (Rupees Fourty Thousand',872,907,MONEY
Vacates,1065,1072,ORG
10th,1223,1227,ORDINAL
months,1317,1323,DATE
one month,1517,1526,DATE
Bangalore-560037,1959,1975,ORG
one,1989,1992,CARDINAL
One,1999,2002,CARDINAL
the day month year,2274,2292,DATE
