entity,start_char,end_char,label
This Rental Agreement,13,34,LAW
2010,83,87,DATE
Hyderabad,91,100,GPE
309,178,181,CARDINAL
SHEETAL.ENCLAVE,184,199,ORG
JE12DIJNETLA,201,213,ORG
'Ranga Reddy Districto

',217,240,PERSON
Hereinafter,241,252,PERSON
MADDIREDDY SUBBA REDDY,313,335,ORG
Flat No.303,341,352,PERSON
SHEETAL,354,361,GPE
Ranga Reddy,384,395,PERSON
Hereinafter,409,420,PERSON
Landlord,455,463,ORG
303,531,534,CARDINAL
House/Plot,672,682,ORG
monthly,767,774,DATE
5th,794,797,ORDINAL
Rs	,820,823,ORG
'11 months,.for',921,935,MONEY
iai__|iroofo,962,974,EVENT
the Rental Agreement,1034,1054,LAW
