entity,start_char,end_char,label
this 19,38,45,DATE
2010,62,66,DATE
Happytown,107,116,GPE
Tennessee,118,127,GPE
Lagoon Landings LLC,171,190,ORG
Thomas Drive,290,302,FAC
414,309,312,CARDINAL
Panama City Beach,314,331,GPE
Florida,333,340,GPE
6,373,374,CARDINAL
3,384,385,CARDINAL
3,396,397,CARDINAL
8,412,413,CARDINAL
3 pm,439,443,TIME
10 am,469,474,TIME
8/22/2010,478,487,PRODUCT
450.00,511,517,MONEY
100.00,521,527,MONEY
600.00,543,549,MONEY
75.00,579,584,MONEY
150.00,609,615,MONEY
the Tenns of the Agreement,641,667,ORG
25,675,677,MONEY
Security Deposit,732,748,ORG
654.00,751,757,MONEY
320.00,794,800,MONEY
10/24/2010,806,816,CARDINAL
14 days,829,836,DATE
'$ 334.00

',874,884,MONEY
Tenants,913,920,ORG
Landlord,1178,1186,ORG
Landlord,1363,1371,ORG
Property,1605,1613,ORG
daily,1777,1782,DATE
Tenants,1836,1843,ORG
eight,2289,2294,CARDINAL
Quiet hour,2449,2459,TIME
10 PM,2470,2475,TIME
Landlord,2697,2705,PERSON
Tennant,2825,2832,ORG
Tenant,2955,2961,ORG
75 degrees,3064,3074,QUANTITY
Tenants,3246,3253,ORG
Landlord,3577,3585,ORG
Tenants,3655,3662,ORG
Tenants,3673,3680,ORG
Tenants,3721,3728,ORG
Landlord,3974,3982,ORG
Lagoon Landings LLC,5414,5433,ORG
Adelynn Court,5439,5452,ORG
South,5453,5458,GPE
Franklin,5460,5468,GPE
TN,5470,5472,GPE
37064,5473,5478,PRODUCT
jim@lagoonlandings.com,5486,5508,ORG
615-599-4092,5520,5532,CARDINAL
