entity,start_char,end_char,label
March 22nd day 2013,47,66,DATE
TWO THOUSAND Thirteen,68,89,DATE
Chennai,94,101,GPE
Kamal,116,121,PERSON
about 32 years,128,142,DATE
Appar Sundar,151,163,PERSON
Kosapt,189,195,PERSON
ONE,398,401,CARDINAL
Appar,487,492,PERSON
about 62 years,499,513,DATE
Chennai,541,548,GPE
600,551,554,CARDINAL
22.03.13,612,620,CARDINAL
V.Arun,630,636,PERSON
Veda Chalam,653,664,PERSON
Kanda Swamy Koil,990,1006,PERSON
Kosapet,1015,1022,GPE
SCHEDULE,1090,1098,ORG
SCHEULE,1174,1181,ORG
Monthly,1200,1207,DATE
a period of 12 months,1249,1270,DATE
SCHEDULE,1372,1380,ORG
monthly,1415,1422,DATE
a period of 12 months,1550,1571,DATE
23.03.13,1589,1597,CARDINAL
23.03.14,1623,1631,CARDINAL
12 months,1652,1661,DATE
Lease,1757,1762,ORG
the English Calendar Month,1779,1805,EVENT
Monthly Amenity,1841,1856,ORG
5th,1878,1881,ORDINAL
month,1910,1915,DATE
15000.00,2017,2025,CARDINAL
100000 (Rupees One lakh,2084,2107,MONEY
one,2117,2120,CARDINAL
monthly,2353,2360,DATE
Kamal,2448,2453,PERSON
/month,2526,2532,DATE
third,3416,3421,ORDINAL
monthly,3525,3532,DATE
two consecutive months,3569,3591,DATE
Lease,3789,3794,ORG
PREMISES,3921,3929,ORG
Demised,4263,4270,PERSON
monthly,4342,4349,DATE
General Maintenance,4350,4369,ORG
Rs.1500,4379,4386,PERSON
The Flat Owner,4406,4420,ORG
Kamal,4424,4429,PERSON
Municipal Corporation,4735,4756,ORG
Lease,5065,5070,ORG
2,5106,5107,CARDINAL
Two) months,5109,5120,DATE
monthly,5244,5251,DATE
two months,5311,5321,DATE
12 months,5836,5845,DATE
this Lease Agreement,5847,5867,LAW
5%,5890,5892,PERCENT
12 / 24 months,5990,6004,DATE
Kosapet,6130,6137,GPE
month,6329,6334,DATE
1,6421,6422,CARDINAL
Tube Lights	d,6553,6566,PERSON
'Exhaust Fan	

',6568,6582,PRODUCT
