entity,start_char,end_char,label
this the 15th day of February 2012,143,177,DATE
31 years,252,260,DATE
Flat	FI,292,299,GPE
'No:3,V.O.C.Street',314,331,GPE
Near SAN Academy School,332,355,ORG
Velachery,373,382,GPE
Chennai-600042,383,397,ORG
ONE,559,562,CARDINAL
'Jeyanth B, S',579,591,PERSON
30 years,615,623,DATE
Engineer,647,655,ORG
Cognizant Technology Solutions,657,687,ORG
Chennai,689,696,GPE
Lakeview 3rd Street,739,758,FAC
Iyyappa Nagar,760,773,PERSON
Madipakkam Chennai - 91,775,798,GPE
2,984,985,CARDINAL
LANDLORD,1000,1008,ORG
First Floor premises,1048,1068,ORG
2,1087,1088,CARDINAL
NO.3,1175,1179,PERSON
PADMAVATHI NAGAR EXTN.,1195,1217,ORG
VELACHERY,1219,1228,ORG
CHENNAI,1230,1237,ORG
SCHEDULE PREMISES,1301,1318,WORK_OF_ART
LANDLORD,1406,1414,ORG
a period of,1596,1607,DATE
11,1608,1610,CARDINAL
months,1620,1626,DATE
11th day of March 2012 to 10th day of February 2013,1642,1693,DATE
05/03/2012,1826,1836,DATE
SCHEDULE PREMISES,2185,2202,ORG
the SCHEDULE PREMISES,2379,2400,ORG
MONTHLY,2570,2577,DATE
5th,2695,2698,ORDINAL
English calendar month,2721,2743,DATE
3,2783,2784,CARDINAL
Energy,2817,2823,ORG
TNEB,3005,3009,ORG
LANDLORD,3094,3102,ORG
the Security Deposit,3108,3128,ORG
monthly,3292,3299,DATE
Rental Lease,3406,3418,ORG
Rental Lease,3706,3718,ORG
Schedule,3826,3834,ORG
the SCHEDULE PREMISES,3977,3998,ORG
Woodwork,4114,4122,ORG
'the Rental Lease

',4615,4633,LAW
1,4774,4775,CARDINAL
1,4797,4798,CARDINAL
the Ground Floor,4837,4853,FAC
11,5620,5622,CARDINAL
months,5734,5740,DATE
10%,5756,5759,PERCENT
the Rental Lease,5813,5829,ORG
11,6020,6022,CARDINAL
months,6032,6038,DATE
2 month’s,6079,6088,DATE
a clear 2 months,6260,6276,DATE
LANDLORD,6393,6401,ORG
30 day,6453,6459,DATE
Schedule,7010,7018,ORG
this day,7049,7057,DATE
ShankaraPuram,7111,7124,ORG
Sithalapakka m,7125,7139,PERSON
'Chennai-600126

',7140,7156,PERSON
month,7259,7264,DATE
M.Santosh,7354,7363,PERSON
'B.Jeyanth

',7378,7389,PERSON
