entity,start_char,end_char,label
this 27TH Day of MARCH 2016,42,69,DATE
PAUL PAULINO,93,105,PERSON
VILA ST HONOLULU,223,239,GPE
month to month,360,374,DATE
APRIL 1,386,393,DATE
2016,395,399,DATE
Tenants,522,529,ORG
at least 30 days,574,590,DATE
monthly,768,775,DATE
the 1st day of each month,790,815,DATE
'The first month''s',851,868,DATE
ARSENLA PAULINO.,1027,1043,PERSON
this Rental Agreement,1250,1271,LAW
7 days,1282,1288,DATE
the 8th of the month,1346,1366,DATE
25,1392,1394,MONEY
an additional $5,1410,1426,MONEY
25,1758,1760,MONEY
500,2013,2016,MONEY
Landlord,2073,2081,ORG
at least thirty,2365,2380,CARDINAL
Tenants,2405,2412,ORG
Landlord,2453,2461,ORG
30 days,2728,2735,DATE
at least thirty,2891,2906,CARDINAL
Landlord,3098,3106,ORG
Tenant,3250,3256,ORG
Landlord,3369,3377,ORG
15 days,3748,3755,DATE
that month,3791,3801,DATE
previous months,3837,3852,DATE
Tenant,4107,4113,ORG
two,4176,4179,CARDINAL
Tenants,4206,4213,ORG
Landlord,4341,4349,ORG
Landlord,4667,4675,ORG
3 days,4683,4689,DATE
Premises,5769,5777,FAC
PAULINO,5854,5861,PERSON
first,5986,5991,ORDINAL
Tenants,6306,6313,ORG
Landlords,6403,6412,ORG
more than seventy-two,6485,6506,CARDINAL
72) hours,6508,6517,TIME
Landlords,6632,6641,ORG
Landlords,6655,6664,ORG
Tenants,6679,6686,ORG
3-day,7471,7476,DATE
first,7698,7703,ORDINAL
Landlords’,7714,7724,ORG
first,8076,8081,ORDINAL
the Rental Application,8165,8187,ORG
Landlord,8518,8526,ORG
Rental,8663,8669,ORG
45 days,8711,8718,DATE
this Rental Contract,8784,8804,LAW
this Rental Agreement,8843,8864,LAW
this Rental Agreement,9254,9275,LAW
the Rental Agreement,9336,9356,LAW
20,9382,9384,CARDINAL
-RC &,9405,9410,ORG
PAUL PAULINO,9411,9423,PERSON
