entity,start_char,end_char,label
Date-7/2/08,56,67,PERSON
Procall Private Limited,77,100,ORG
Corporate Office,112,128,ORG
Procall Private Limited,132,155,ORG
First,163,168,ORDINAL
Triveni Commercial Complex,176,202,ORG
Shiekh Sarai,204,216,PERSON
'New

',226,231,PERSON
Procall,273,280,GPE
one,448,451,CARDINAL
Telelogic India Pvt.,487,507,ORG
Bangalore,565,574,GPE
Procall,812,819,GPE
Renting Trunking Radio Services,824,855,ORG
1,971,972,CARDINAL
Rs 6000/-,1028,1037,ORG
Procall Pvt. Ltd.,1078,1095,ORG
Procall Pvt. Ltd.,1134,1151,ORG
Procall Pvt.,1299,1311,ORG
Procall,1395,1402,GPE
2,1439,1440,CARDINAL
Procall,1494,1501,GPE
12 months,1526,1535,DATE
Radios,1598,1604,PRODUCT
Procall,1681,1688,GPE
12,1722,1724,CARDINAL
months,1732,1738,DATE
Radios,1839,1845,PRODUCT
Procall,1883,1890,GPE
Radio,2007,2012,ORG
Procall,2037,2044,GPE
20%,2216,2219,PERCENT
Procall,2230,2237,GPE
Procall,2239,2246,GPE
Radio,2273,2278,ORG
UFMI,2341,2345,ORG
Radio,2395,2400,ORG
Rs,2442,2444,ORG
Procall,2503,2510,GPE
Procall,2842,2849,GPE
Radios,2892,2898,PRODUCT
Procall Private Limited,2924,2947,ORG
Procall Private Limited,3032,3055,ORG
1200/-,3092,3098,CARDINAL
monthly,3126,3133,DATE
12.36%,3177,3183,PERCENT
Taxes,3203,3208,ORG
Government of India,3229,3248,ORG
State Government,3252,3268,ORG
upto 100,3354,3362,CARDINAL
one month,3409,3418,DATE
ProCall Private Limited,3450,3473,ORG
monthly,3499,3506,DATE
ProCall Private Limited,3530,3553,ORG
Motorola Authorized,3634,3653,ORG
Bangalore,3672,3681,GPE
Redington India,3721,3736,LOC
122/2,3739,3744,MONEY
Infantry Road,3746,3759,FAC
Monarch Chambers,3761,3777,ORG
2nd,3779,3782,ORDINAL
Bangalore,3790,3799,GPE
Procall Private Limited,3858,3881,ORG
Telelogic India Pvt.,3968,3988,ORG
the Motorola Authorized Repair Centre,4007,4044,ORG
Procall Private Limited,4233,4256,ORG
12 months,4334,4343,DATE
30 days,4411,4418,DATE
Customer,4442,4450,ORG
12 paid months,4507,4521,DATE
Procall,4558,4565,GPE
months,4582,4588,DATE
Procall,4724,4731,GPE
'JF.NCF.S OF DISHONOUR OF CHEQUES

',4773,4807,ORG
1881,4992,4996,DATE
the Arbitration and Conciliation Act,5180,5216,ORG
1996,5218,5222,DATE
Delhi,5373,5378,GPE
New Delhi,5379,5388,GPE
the State of Delhi,5412,5430,GPE
Procall,5563,5570,GPE
Procall,5628,5635,GPE
the period of 12 months,5650,5673,DATE
Govt,5746,5750,ORG
& Taxes,5759,5766,ORG
Rental Charges,6022,6036,ORG
this day,6102,6110,DATE
month,6112,6117,DATE
year,6122,6126,DATE
