entity,start_index,end_index,label,score
##ESS,40,44,ORG,0.5237634181976318
LLC,43,45,ORG,0.4032134413719177
Management,52,61,ORG,0.9224016666412354
Jose Luis,56,64,ORG,0.9046885371208191
Salcido,58,64,PER,0.864905595779419
Management,85,94,ORG,0.6637657880783081
California,114,123,LOC,0.9994222521781921
Superior Court of Kern County,139,167,ORG,0.9950174689292908
Property,239,246,ORG,0.5294284820556641
Management,261,270,ORG,0.7650167942047119
Management,304,313,ORG,0.9470602869987488
Property,324,331,ORG,0.5372827649116516
