words,tags
HOUSE,O
(,O
fully,O
furnished,O
),O
LEASE,O
/,O
RENTAL,O
AGREEMENT,O
KNOW,O
ALL,O
MEN,O
BY,O
THESE,O
PRESENTS,O
:,O
This,O
HOUSE,O
(,O
FULLY,O
FURNISHED,O
),O
LEASE,O
/,O
RENTAL,O
AGREEMENT,O
is,O
made,O
and,O
executed,O
at,O
the,O
City,B-LOC
of,I-LOC
Olongapo,I-LOC
City,L-LOC
',',O
Philippines,U-LOC
this,O
19th,O
day,O
of,O
July,O
',',O
2011,O
',',O
by,O
and,O
between,O
:,O
(,O
MARITES,O
M.,O
ALICANTE,O
),O
',',O
of,O
legal,O
age,O
',',O
single,O
',',O
Filipino,U-MISC
',',O
and,O
with,O
residence,O
and,O
postal,O
address,O
at,O
No,O
.,O
50,O
-,O
20th,B-LOC
Jonson,I-LOC
St.,L-LOC
',',O
East,U-LOC
Bajac-,O
Bajac-,O
Olongapo,B-LOC
City,L-LOC
hereinafter,O
referred,O
to,O
as,O
the,O
LANDLORD,O
.,O
-AND-,O
JASMIN,B-PER
B.,I-PER
BAKER,L-PER
and,O
EDWARD,B-PER
RAY,I-PER
BAKER,L-PER
',',O
JR,U-ORG
.,O
',',O
spouses,O
',',O
of,O
legal,O
ages,O
',',O
and,O
with,O
residence,O
and,O
postal,O
address,O
at,O
Phase,B-MISC
1,L-MISC
',',O
Block,B-MISC
2-Lot,I-MISC
7,L-MISC
',',O
Magdalena,B-LOC
Homes,L-LOC
',',O
Sto,U-LOC
.,O
Tomas,U-LOC
',',O
Subic,U-LOC
',',O
Zambales,U-LOC
',',O
hereinafter,O
referred,O
to,O
as,O
the,O
TENANTS,O
.,O
WITNESSETH,O
;,O
That,O
WHEREAS,O
',',O
the,O
LANDLORD,U-ORG
is,O
the,O
owner,O
of,O
HOUSE,O
(,O
FULLY,O
FURNISHED,O
),O
',',O
a,O
residential,O
property,O
situated,O
at,O
Phase,O
1,O
',',O
Block,B-MISC
2-Lot,L-MISC
7,O
',',O
Magdalena,B-LOC
Homes,L-LOC
',',O
Sto,U-LOC
.,O
Tomas,U-LOC
',',O
Suibc,U-LOC
',',O
Zambales,U-LOC
;,O
WHEREAS,O
',',O
the,O
LANDLORD,U-ORG
agrees,O
to,O
lease,O
-,O
out,O
the,O
property,O
to,O
the,O
TENANTS,U-ORG
and,O
the,O
TENANTS,U-ORG
is,O
willing,O
to,O
lease,O
the,O
same,O
;,O
NOW,O
THEREFORE,O
',',O
for,O
and,O
in,O
consideration,O
of,O
the,O
foregoing,O
premises,O
',',O
the,O
LANDLORD,O
leases,O
unto,O
the,O
TENANTS,U-MISC
and,O
the,O
TENANTS,U-MISC
hereby,O
accepts,O
from,O
the,O
LANDLORD,O
the,O
LEASED,O
premises,O
',',O
subject,O
to,O
the,O
following,O
:,O
TERMS,O
