words,tags
STANDARD,O
REAL,O
ESTATE,O
RENTAL,O
AGREEMENT,O
This,O
Agreement,O
made,O
this,O
11,O
day,O
of,O
December,O
',',O
2008,O
',',O
is,O
between,O
PROSPER,U-ORG
4,O
LESS,O
',',O
LLC,U-ORG
(,O
hereinafter,O
referred,O
to,O
as,O
",O
Management,O
",O
),O
and,O
Jose,B-ORG
Luis,I-ORG
Salcido,L-ORG
owner(hereinafter,O
referred,O
to,O
as,O
",O
Resident,O
",O
),O
.,O
Management,O
rents,O
to,O
Resident,O
',',O
and,O
Resident,O
rents,O
from,O
Management,O
',',O
property,O
located,O
at,O
:,O
Addressl6714,B-ORG
MOSSDALE,L-ORG
BLVD.LANCASTER,O
',',O
State,O
:,O
California,U-LOC
',',O
Zip,U-LOC
:,O
93535,O
',',O
the,O
full,O
legal,O
description,O
of,O
which,O
is,O
the,O
same,O
as,O
recorded,O
with,O
the,O
Clerk,O
of,O
the,O
Superior,B-ORG
Court,L-ORG
of,O
Kern,B-LOC
County,L-LOC
',',O
and,O
is,O
made,O
a,O
part,O
hereof,O
by,O
reference,O
(,O
hereinafter,O
referred,O
to,O
as,O
the,O
",O
Property,O
",O
),O
',',O
under,O
the,O
following,O
terms,O
and,O
conditions,O
:,O
TERM,O
:,O
The,O
initial,O
term,O
of,O
this,O
Agreement,U-MISC
shall,O
be,O
for,O
$,O
700.00,O
Dollars,O
per,O
months,O
beginning,O
on,O
the,O
15,O
day,O
of,O
DECEMBER,O
',',O
2008,O
.,O
CONDITION,O
:,O
Resident,O
accepts,O
Property,O
in,O
its,O
present,O
",O
AS,O
-,O
IS,O
",O
condition,O
and,O
acknowledges,O
that,O
Resident,O
has,O
received,O
a,O
list,O
of,O
any,O
existing,O
damages,O
to,O
Property,U-ORG
',',O
been,O
given,O
the,O
right,O
to,O
inspect,O
same,O
',',O
and,O
has,O
approved,O
said,O
list,O
except,O
as,O
previously,O
specified,O
in,O
writing,O
to,O
Management,O
.,O
Resident,O
acknowledges,O
receipt,O
of,O
the,O
",O
Move,O
-,O
In,B-MISC
Inspection,I-MISC
Form,L-MISC
",O
and,O
accepts,O
the,O
responsibility,O
to,O
complete,O
said,O
form,O
within,O
seven,O
(,O
7,O
),O
days,O
of,O
taking,O
possession,O
and,O
return,O
a,O
completed,O
',',O
signed,O
copy,O
to,O
Management,O
.,O
Failure,O
to,O
do,O
so,O
shall,O
be,O
Resident,O
'''s',O
acknowledgment,O
that,O
Property,O
is,O
in,O
perfect,O
condition,O
in,O
every,O
particular,O
and,O
that,O
any,O
damages,O
',',O
including,O
breakage,O
',',O
bums,O
and,O
wear,O
