words,tags
AGREEMENT,O
OF,O
RENTAL,O
LEASE,O
THIS,O
AGREEMENT,O
OF,O
RENTAL,B-MISC
LEASE,L-MISC
made,O
and,O
entered,O
into,O
on,O
this,O
the,O
15th,O
day,O
of,O
February,O
2012,O
(,O
15.02.2012,O
),O
.,O
By,O
and,O
between,O
Mr,O
M.SANTOSH,O
S,O
/,O
O.M.DATTATREYA,B-PER
SASTRY,L-PER
',',O
aged,O
31,O
years,O
',',O
having,O
permanent,O
residence,O
at,O
Flat,B-LOC
FI,L-LOC
',',O
Golden,U-LOC
pearl,O
',',O
'No:3,V.O.C.Street',U-LOC
',',O
Near,B-LOC
SAN,I-LOC
Academy,I-LOC
School,L-LOC
',',O
Padmavathy,B-LOC
Nagar,L-LOC
',',O
Velachery,U-LOC
',',O
Chennai-600042,U-LOC
.,O
',',O
hereinafter,O
referred,O
to,O
as,O
the,O
“,O
LANDLORD,O
”,O
(,O
Which,O
term,O
shall,O
mean,O
and,O
include,O
her,O
legal,O
heirs,O
',',O
executors,O
',',O
administrators,O
',',O
legal,O
representatives,O
and,O
assigns,O
),O
of,O
ONE,O
PART,O
.,O
AND,O
Mr.,O
Jeyanth,U-PER
B,O
',',O
S,O
/,O
o,O
.,O
Balasundaram,U-PER
C,O
aged,O
30,O
years,O
',',O
working,O
as,O
a,O
software,O
Engineer,O
',',O
Cognizant,B-ORG
Technology,I-ORG
Solutions,L-ORG
',',O
Chennai,U-LOC
.,O
',',O
having,O
permanent,O
residence,O
at,O
No,O
5/856,O
',',O
Lakeview,B-LOC
3rd,I-LOC
Street,L-LOC
',',O
Iyyappa,B-LOC
Nagar,L-LOC
',',O
Madipakkam,B-LOC
Chennai,L-LOC
-,O
91,O
hereinafter,O
referred,O
to,O
as,O
the,O
TENANT”(which,U-MISC
term,O
shall,O
mean,O
and,O
include,O
his,O
legal,O
heirs,O
',',O
successors,O
',',O
executors,O
',',O
administrators,O
',',O
legal,O
representatives,O
and,O
assigns,O
),O
of,O
THE,O
OTHER,O
PART,O
.,O
:,O
2,O
:,O
WHEREAS,O
the,O
LANDLORD,U-ORG
is,O
the,O
owner,O
',',O
and,O
landlord,O
of,O
all,O
that,O
First,B-ORG
Floor,L-ORG
premises,O
',',O
(,O
comprising,O
of,O
a,O
2,O
Bed,B-ORG
Room,L-ORG
portion,O
),O
