words,tags
ROOM,O
RENTAL,O
AGREEMENT,O
This,O
is,O
a,O
legally,O
binding,O
agreement,O
.,O
It,O
is,O
intended,O
to,O
promote,O
household,O
harmony,O
by,O
clarifying,O
die,O
expectations,O
and,O
responsibilities,O
of,O
the,O
homeowner,O
or,O
Principal,B-ORG
Tenant,L-ORG
(,O
Landlords,U-ORG
),O
and,O
Tenant,O
when,O
they,O
share,O
the,O
same,O
home,O
.,O
The,O
term,O
“,O
Landlord,O
”,O
refers,O
to,O
either,O
homeowner,O
or,O
Principal,O
Tenant,O
.,O
Landlord,O
shall,O
provide,O
a,O
copy,O
of,O
this,O
executed,O
(,O
signed,O
),O
document,O
to,O
the,O
Tenant,U-ORG
',',O
as,O
required,O
by,O
law,O
.,O
Terms,O
Length,O
of,O
Agreement,O
:,O
Month,O
-,O
to,O
-,O
Month,O
Either,O
party,O
may,O
cancel,O
or,O
change,O
terms,O
of,O
this,O
agreement,O
upon,O
thirty,O
(,O
30,O
),O
days,O
WRITTEN,O
notice,O
.,O
The,O
notice,O
period,O
may,O
be,O
lengthened,O
or,O
shortened,O
by,O
WRITTEN,O
agreement,O
',',O
but,O
no,O
less,O
than,O
7,O
days,O
.,O
Rent,O
y,O
k0_0,O
_,O
',',O
is,O
payable,O
monthly,O
on,O
the,O
Lh,U-MISC
.,O
day,O
of,O
the,O
month,O
',',O
to,O
Rent,O
jS,O
does,O
/,O
CJdoes,U-ORG
not,O
include,O
utilities,O
.,O
If,O
it,O
does,O
not,O
',',O
utility,O
bills,O
will,O
be,O
apportioned,O
as,O
follows,O
:,O
Gas,O
/,O
Electricity,O
:,O
Tenant,O
pays,O
0,O
o,O
of,O
monthly,O
bill,O
.,O
D,O
Water,O
/,O
Garbage,O
:,O
Tenant,O
pays,O
°,O
o,O
of,O
monthly,O
bill,O
.,O
Phone,O
:,O
Tenant,O
pays,O
0,O
o,O
of,O
monthly,O
bill,O
plus,O
personal,O
long,O
distance,O
calls,O
.,O
D,O
Other,O
:,O
Tenant,O
pays,O
„,O
0,O
o,O
of,O
monthly,O
bill,O
.,O
Conflict,O
Resolution,O
Each,O
housemate,O
will,O
strive,O
to,O
develop,O
mutual,O
cooperation,O
with,O
all,O
other,O
housemates,O
.,O
Should,O
disagreements,O
arise,O
',',O
each,O
shall,O
try,O
to,O
resolve,O
the,O
dispute,O
in,O
good,O
faith,O
using,O
clear,O
communication,O
.,O
If,O
disputes,O
continue,O
thereafter,O
',',O
the,O
housemates,O
agree,O
to,O
the,O
following,O
methods,O
of,O
conflict,O
resolution,O
:,O
D,O
Decision,O
by,O
household,O
consensus,O
D,O
Mediation,O
by,O
impartial,O
third,O
party,O
□,O
Decision,O
by,O
household,O
majority,O
vote,O
Privacy,O
As,O
required,O
by,O
law,O
',',O
die,O
landlord,O
may,O
enter,O
the,O
tenant,O
'''s',O
room,O
only,O
for,O
the,O
following,O
reasons,O
:,O
(,O
a,O
),O
in,O
case,O
of,O
emergency,O
;,O
(,O
b,O
),O
to,O
make,O
necessary,O
or,O
agreed,O
-,O
upon,O
repairs,O
',',O
decorations,O
',',O
or,O
improvements,O
',',O
supply,O
necessary,O
or,O
agreed,O
-,O
upon,O
services,O
',',O
or,O
exhibit,O
the,O
dwelling,O
unit,O
to,O
prospective,O
or,O
actual,O
purchasers,O
',',O
mortgagees,O
',',O
tenants,O
',',O
workers,O
',',O
or,O
contractors,O
;,O
(,O
c,O
),O
when,O
the,O
tenant,O
has,O
abandoned,O
or,O
surrendered,O
the,O
premises,O
;,O
or,O
(,O
d,O
),O
pursuant,O
to,O
court,O
order,O
.,O
The,O
landlord,O
must,O
give,O
the,O
tenant,O
b&gfs,O
notice,O
of,O
intent,O
to,O
enter,O
and,O
may,O
enter,O
only,O
during,O
normal,O
business,O
hours,O
',',O
excepting,O
by,O
necessity,O
',',O
cases,O
(,O
a,O
),O
and,O
(,O
c,O
),O
above,O
.,O
Deposits,O
Last,O
mop&\(s^rent,O
:,O
Security,O
deposit,O
:,O
This,O
“,O
other,O
”,O
deposit,O
is,O
refundablmvithin,O
days,O
after,O
tenant,O
vacates,O
the,O
premises,O
.,O
If,O
any,O
pomonyof,O
it,O
is,O
deducted,O
',',O
an,O
accounting,O
and,O
verification,O
of,O
the,O
reasonableness,O
of,O
the,O
deduction,O
will,O
be,O
provided,O
.,O
The,O
security,O
deposit,O
may,O
be,O
used,O
for,O
the,O
purpose,O
of,O
repairing,O
damage,O
for,O
which,O
the,O
tenant,O
is,O
responsible,O
(,O
beyond,O
normal,O
wear,O
and,O
tear,O
),O
',',O
cleaning,O
',',O
or,O
paying,O
unpaid,O
rent,O
or,O
utilities,O
.,O
The,O
landlord,O
and,O
the,O
tenant,O
shall,O
conduct,O
a,O
pre,O
-,O
move,O
out,O
inspection,O
of,O
the,O
rental,O
BEFORE,O
the,O
tenant,O
moves,O
out,O
at,O
which,O
time,O
the,O
landlord,O
shall,O
inform,O
die,O
tenant,O
of,O
needed,O
repairs,O
and/or,O
cleaning,O
in,O
WRITING,O
.,O
The,O
tenant,O
shall,O
have,O
the,O
right,O
to,O
make,O
any,O
repairs,O
identified,O
at,O
the,O
pre,O
-,O
move,O
out,O
inspection,O
at,O
his,O
or,O
her,O
expense,O
before,O
the,O
move,O
out,O
date,O
without,O
deduction,O
from,O
the,O
security,O
deposit,O
.,O
Within,O
three,O
weeks,O
after,O
the,O
tenant,O
moves,O
out,O
',',O
die,O
landlord,O
shall,O
return,O
the,O
deposit,O
to,O
the,O
tenant,O
widi,O
accrued,O
interest,O
less,O
any,O
deductions,O
',',O
if,O
any,O
',',O
the,O
landlord,O
is,O
entided,O
to,O
under,O
diis,O
agreement,O
.,O
If,O
any,O
deductions,O
are,O
made,O
',',O
the,O
landlord,O
shall,O
provide,O
the,O
tenant,O
with,O
a,O
written,O
itemized,O
statement,O
of,O
expenses,O
and,O
receipts,O
for,O
cleaning,O
or,O
repairs,O
for,O
which,O
deductions,O
were,O
made,O
from,O
the,O
deposit,O
.,O
This,O
residence,O
being,O
in,O
the,O
County,B-LOC
of,I-LOC
Santa,I-LOC
Cruz,L-LOC
(,O
with,O
the,O
exception,O
of,O
Scotts,B-LOC
Valley,L-LOC
),O
',',O
simple,O
interest,O
will,O
be,O
paid,O
annually,O
on,O
the,O
security,O
deposit,O
and/or,O
last,O
month,O
'''s',O
rent,O
to,O
the,O
tenant,O
',',O
pursuant,O
to,O
current,O
local,O
ordinance,O
.,O
Other,O
Agreements,O
Landlord,O
Inns,O
ii\e,O
rirjhh,O
~tz,O
>,O
-ftRm\\nc\,O
{,O
p,O
dht,O
Cnnbr^cJ,O
'''',O
miuj,O
'''',O
Ume,O
if,O
.,O
decant,O
^liJs,O
k,O
>,O
rm,O
f,O
on,O
ntlruc,O
.,O
ar,O
LloUlIc^,O
cwj,O
o,O
{,O
h\e,O
n,O
Lnve,O
Fill,O
out,O
a,O
),O
or,O
b,O
),O
as,O
it,O
appliesoto,O
youf,O
situation,O
D,O
A,O
),O
Principal,O
Tenant,O
D,O
will,O
H,O
bias,O
provided,O
tenant,O
a,O
copy,O
of,O
the,O
Condition,B-MISC
of,I-MISC
Rental,I-MISC
Property,I-MISC
Checklist,L-MISC
',',O
completed,O
when,O
houXehold,U-MISC
first,O
moved,O
in,O
.,O
Megan,O
’s,O
Law,O
“,O
Pursuant,O
To,O
Section,O
290.46,O
of,O
Mie,B-MISC
Penal,I-MISC
Code,L-MISC
',',O
in,O
/,O
ormation,O
about,O
specified,O
registered,O
sex,O
offenders,O
is,O
made,O
available,O
to,O
the,O
public,O
via,O
an,O
Internet,U-MISC
Web,O
site,O
tnmntained,O
by,O
the,O
Department,B-ORG
of,I-ORG
Justice,L-ORG
at,O
www.meganslaw,O
.,O
ca.gov,O
.,O
Depending,O
on,O
an,O
offender’^criminal,U-MISC
history,O
',',O
this,O
information,O
will,O
include,O
either,O
the,O
address,O
at,O
which,O
the,O
offender,O
resides,O
or,O
the,O
community,O
of,O
residence,O
and,O
ZIP,B-MISC
Code,L-MISC
in,O
which,O
he,O
