words,tags
RENTAL,O
AGREEMENT,O
This,O
deed,O
of,O
rental,O
agreement,O
executed,O
at,O
Bangalore,U-LOC
this,O
fifth,O
day,O
of,O
December,O
2008,O
between,O
MR.K.Kuttan,B-LOC
S,L-LOC
/,O
o,O
Kelu,B-PER
Aehari,L-PER
(,O
Late,U-LOC
),O
residing,O
at,O
site,O
No,O
152,O
Geethalayam,B-LOC
OMH,L-LOC
colong,O
S.M.,B-LOC
Road,L-LOC
1st,O
main,O
',',O
T.Dasarahalli,U-LOC
',',O
Bangalore-57,U-LOC
.,O
Here,O
after,O
called,O
the,O
lessor,O
which,O
term,O
shall,O
where,O
the,O
contest,O
so,O
admits,O
mean,O
and,O
includes,O
his,O
legal,O
heirs,O
representatives,O
executors,O
and,O
assign,O
and,O
Sri,U-LOC
.,O
P.M.,O
Narayana,B-PER
Namboodri,L-PER
“,O
Laxmi,B-PER
Leela,L-PER
”,O
ground,O
floor,O
3rd,O
cross,O
Ayyappa,B-LOC
Nagar,L-LOC
behind,O
Ayyappa,B-LOC
Temple,L-LOC
',',O
Jalahalli,B-LOC
West,L-LOC
',',O
Bangalore,U-LOC
-,O
15,O
referred,O
as,O
tenant,O
which,O
term,O
shall,O
wherever,O
the,O
context,O
so,O
admits,O
mean,O
and,O
includes,O
his,O
legal,O
heirs,O
representations,O
executors,O
assign,O
witnesses,O
.,O
Whereas,O
the,O
lessor,O
is,O
the,O
absolute,O
owner,O
after,O
premises,O
at,O
site,O
No,O
.,O
8/20,O
S.M.,B-LOC
Road,L-LOC
',',O
Jalahalli,B-LOC
West,L-LOC
',',O
Bangalore,U-LOC
-,O
15,O
and,O
he,O
has,O
constructed,O
approximate,O
500,O
sft,O
area,O
of,O
Ilnd,U-LOC
floor,O
with,O
A.C.,B-ORG
Sheet,L-ORG
roof,O
with,O
power,O
light,O
in,O
the,O
above,O
said,O
premises,O
.,O
Where,O
as,O
the,O
owner,O
has,O
offered,O
to,O
let,O
out,O
the,O
premises,O
for,O
non,O
residential,O
purpose,O
',',O
where,O
as,O
the,O
tenant,O
has,O
offered,O
to,O
take,O
the,O
said,O
premises,O
on,O
rent,O
for,O
non,O
residential,O
purpose,O
namely,O
for,O
“,O
MAHALAKSHMI,O
INDUSTRIAL,O
CONSULTANT,O
’,O
and,O
tenant,O
is,O
the,O
Proprietor,O
of,O
the,O
business,O
and,O
he,O
has,O
agreed,O
to,O
pay,O
rent,O
'Rs.4,000.00',O
(,O
Rupees,B-MISC
Four,I-MISC
Thousand,L-MISC
only,O
),O
for,O
above,O
said,O
premises,O
with,O
the,O
following,O
terms,O
and,O
conditions:-,O
The,O
agreement,O
made,O
only,O
for,O
eleven,O
months,O
from,O
this,O
date,O
of,O
agreement,O
.,O
Fresh,O
agreement,O
with,O
mutual,O
terms,O
and,O
conditions,O
have,O
to,O
be,O
extended,O
(,O
6.p.c,O
is,O
expecting,O
every,O
eleventh,O
month,O
),O
.,O
The,O
tenant,O
shall,O
pay,O
the,O
rent,O
above,O
said,O
',',O
on,O
before,O
10th,O
of,O
each,O
month,O
.,O
An,O
advance,O
amount,O
of,O
'Rs.35,000/-',O
(,O
Rupees,O
thirty,O
five,O
thousand,O
only,O
),O
is,O
paid,O
by,O
the,O
tenant,O
to,O
the,O
owner,O
at,O
the,O
time,O
of,O
commencement,O
of,O
this,O
agreement,O
',',O
the,O
receipt,O
where,O
of,O
is,O
hereby,O
acknowledged,O
signing,O
this,O
agreement,O
by,O
the,O
owner,O
.,O
The,O
advance,O
shall,O
not,O
carry,O
any,O
interest,O
and,O
refundable,O
to,O
the,O
tenant,O
at,O
the,O
time,O
of,O
vacating,O
the,O
schedule,O
premises,O
.,O
Any,O
arrears,O
of,O
rent,O
electricity,O
and,O
water,O
dues,O
is,O
permissible,O
to,O
deduct,O
from,O
the,O
advance,O
.,O
Each,O
party,O
shall,O
be,O
liable,O
to,O
give,O
three,O
month,O
advance,O
notice,O
for,O
the,O
termination,O
of,O
this,O
agreement,O
.,O
The,O
tenant,O
shall,O
pay,O
the,O
electricity,O
and,O
water,O
charges,O
within,O
one,O
week,O
from,O
the,O
date,O
of,O
receipt,O
of,O
the,O
bills,O
.,O
the,O
tenant,O
shall,O
at,O
the,O
termination,O
of,O
this,O
agreement,O
have,O
to,O
remove,O
superstructure,O
if,O
any,O
put,O
by,O
the,O
tenant,O
at,O
his,O
own,O
expenses,O
and,O
deliver,O
the,O
possession,O
to,O
the,O
owner,O
in,O
good,O
and,O
tenable,O
condition,O
.,O
The,O
tenant,O
shall,O
himself,O
obtain,O
the,O
license,O
for,O
the,O
business,O
top,O
be,O
carried,O
on,O
by,O
him,O
.,O
The,O
tenant,O
shall,O
not,O
sublet,O
or,O
underlet,O
the,O
demised,O
portion,O
or,O
any,O
part,O
there,O
of,O
to,O
any,O
third,O
party,O
.,O
The,O
building,O
owner,O
shall,O
not,O
in,O
any,O
case,O
be,O
held,O
responsible,O
with,O
for,O
any,O
kind,O
of,O
theft,O
',',O
burglary,O
',',O
fire,O
or,O
accident,O
within,O
the,O
portion,O
of,O
the,O
building,O
.,O
All,O
kinds,O
of,O
security,O
arrangements,O
insurances,O
etc,O
.,O
',',O
will,O
have,O
to,O
be,O
done,O
by,O
the,O
tenant,O
if,O
necessary,O
.,O
The,O
tenant,O
shall,O
keep,O
good,O
relationship,O
with,O
neighbors,O
.,O
SIIIDIII,U-PER
WITNESSES,O
OWNER,O
TENANT,U-PER
1,O
.,O
