words,tags
TENANCY,O
AGREEMENT,O
This,O
Tenancy,B-MISC
Agreement,L-MISC
is,O
made,O
and,O
executed,O
at,O
Bangalore,U-LOC
on,O
this,O
22.01.2013,O
by,O
MR,O
.P,O
.RAJA,O
SEKHAR,U-PER
AGED,O
ABOUT,O
28,O
YRS,O
S/0.MR.KRISHNA,O
PARAMATMA,O
PENTAKOTA,O
R,O
/,O
at,O
NESTER,O
RAGA,O
B-502,O
',',O
OPP,U-PER
MORE,O
MEGA,O
STORE,O
BANGALORE-560,O
048,O
Hereinafter,O
called,O
the,O
'''',O
OWNER,O
'''',O
of,O
the,O
One,O
Part,O
.,O
AND,O
MR.VENKATA,O
BHYRAVA,O
MURTHY,O
MUTNURI,O
&,O
P,O
/,O
at,O
NO.17,O
-,O
2,O
-,O
16,O
',',O
l,O
/,O
EERABHARAPURAM,U-PER
AGED,O
ABOUT,O
26,O
YRS,O
RAOAHMUNDRY,B-LOC
ANDHRA,L-LOC
PRADESH,O
S,O
/,O
n,O
.,O
MR.RAGHAVENDRA,O
RAO,O
533105,O
W,O
/,O
at,O
CODINZANT,U-MISC
TECHNOLOGIES,O
BVT.LTD,O
BANGALORE,O
Hereinafter,O
called,O
the,O
‘,O
TENANT,O
'''',O
of,O
the,O
Other,B-MISC
Part,L-MISC
.,O
The,O
terms,O
'''',O
Owner,O
'''',O
and,O
'''',O
Tenant,O
*,O
shall,O
mean,O
and,O
include,O
their,O
heirs,O
#,O
legal,O
representatives,O
#,O
administrators,O
#,O
assigns,O
of,O
their,O
respective,O
parts,O
as,O
parties,O
themselves,O
wherever,O
the,O
context,O
admits,O
and,O
includes,O
the,O
same,O
.,O
Whereas,O
the,O
Owner,O
is,O
the,O
sole,O
and,O
absolute,O
owner,O
of,O
the,O
Residential,U-ORG
property,O
which,O
is,O
morefully,O
descrmed,O
in,O
the,O
schedule,O
hereunder,O
and,O
at,O
the,O
enjoyment,O
of,O
.,O
the,O
owner,O
.,O
Whereas,O
the,O
Tenant,U-ORG
for,O
want,O
of,O
Residential,O
purpose,O
approached,O
the,O
owner,O
to,O
let,O
out,O
the,O
premises,O
on,O
monthly,O
rental,O
and,O
the,O
owner,O
agreed,O
for,O
the,O
same,O
under,O
the,O
following,O
terms,O
and,O
conditions,O
.,O
-2-,O
NOW,O
THIS,O
AGREEMENT,O
WITNESSETH,O
AS_FQLLCWS,O
:,O
The,O
tenancy,O
shall,O
commence,O
from,O
11.04.2012,O
and,O
initially,O
valid,O
for,O
a,O
period,O
of,O
eleven,O
months,O
and,O
may,O
be,O
renewed,O
with,O
5,O
%,O
enhanced,O
rent,O
for,O
further,O
periods,O
before,O
the,O
expiry,O
of,O
this,O
agreement,O
after,O
mutual,O
consent,O
between,O
the,O
parties,O
.,O
The,O
tenant,O
shall,O
pay,O
a,O
monthly,O
rent,O
of,O
Rs,O
.,O
'15,000/-',O
(,O
Rupees,O
Fifteen,O
thousand,O
only,O
),O
to,O
the,O
owner,O
on,O
or,O
-•,O
■,O
'''before',O
5th,O
of,O
every,O
succeeding,O
month,O
as,O
per,O
the,O
english,O
calendar,O
month,O
.,O
The,O
tenant,O
has,O
paid,O
a,O
total,O
sum,O
of,O
Rs,U-MISC
.,O
'1,50,000/-(Rupees',O
One,O
Lakh,U-MISC
fifty,O
thousadn,O
only,O
),O
to,O
the,O
owner,O
towards,O
advance,O
/,O
security,O
deposit,O
.,O
This,O
sum,O
shall,O
carry,O
no,O
interest,O
but,O
refundable,O
to,O
the,O
tenant,O
at,O
the,O
time,O
of,O
vacating,O
the,O
premises,O
after,O
deductions,O
for,O
damages,O
and,O
dues,O
if,O
any,O
.,O
Re,O
painting,O
cost,O
=,O
0ne,O
M,O
nth,O
Rent,O
The,O
tenant,O
sliall,O
pay,O
for^the,O
electricity,O
charges,O
separately,O
and,O
water,O
charges,O
separately,O
The,O
Owner,B-ORG
/,I-ORG
Tenant,L-ORG
shall,O
give,O
to,O
the,O
Tenant,B-ORG
/,I-ORG
Cwner,L-ORG
llU0(2,O
month,O
advance,O
notice,O
for,O
vacating,O
of,O
the,O
premises,O
.,O
The,O
Tenant,O
shall,O
allow,O
inspection,O
by,O
the,O
owner,O
during,O
all,O
reasonable,O
hours,O
and,O
the,O
tenant,O
shall,O
not,O
re,O
-,O
lease,O
or,O
alter,O
the,O
premises,O
and,O
shall,O
