words,tags
LEASSE,O
AGREEENT,O
THIS,O
INDENTURE,O
IS,O
MADE,O
ON,O
THIS,O
THE,O
DAY,O
OF,O
1stDAY,O
OF,O
SEPTEMBER,O
2018,O
(,O
TWO,O
THOUSAND,O
EIGHTEEN,O
),O
Page,O
-2,O
BETWEEN,O
SMT,O
PARMESHWARI,O
DEVI,B-PER
JOSHI,L-PER
(,O
PAN,O
No,O
.,O
ACWPJ1537D,O
),O
',',O
W,O
/,O
O,B-LOC
Sri,L-LOC
Chothmal,B-PER
Joshi,L-PER
',',O
Hindu,U-MISC
by,O
faith,O
',',O
Occupation,O
-,O
Housewife,O
',',O
Residing,O
at,O
-,O
Joshi,B-LOC
Kunj,L-LOC
',',O
opposite,O
Akashwani,U-LOC
',',O
2nd,B-LOC
Mile,I-LOC
Sevoke,L-LOC
road,O
',',O
Siliguri,U-LOC
.,O
West,B-LOC
Bengal,L-LOC
—,O
hereinafter,O
called,O
the,O
LESSOR,U-ORG
/,O
FIRST,O
PARTY,O
(,O
which,O
expression,O
shall,O
mean,O
and,O
include,O
excluded,O
by,O
or,O
repugnant,O
to,O
the,O
context,O
her,O
heirs,O
',',O
executors,O
',',O
sucessors,O
',',O
administrators,O
',',O
representatives,O
and,O
assigns,O
),O
of,O
the,O
FIRST,O
PART,O
.,O
AND,O
TECHNOCULTURE,O
BUILDING,O
CENTRE,O
PRIVATE,O
LIMITED,O
',',O
a,O
Private,B-ORG
Limited,I-ORG
Company,L-ORG
incorporated,O
under,O
the,O
Indian,B-MISC
Companies,I-MISC
Act,L-MISC
1956,O
having,O
its,O
incorporation,O
No,O
.,O
and,O
its,O
registered,O
office,O
at,O
flat,O
no,O
417,O
',',O
Ashiana,U-LOC
tower,O
',',O
Exhibition,B-LOC
Road,I-LOC
Patna-,L-LOC
1,O
',',O
Bihar,U-LOC
—,O
hereinafter,O
called,O
the,O
LESSEE/,B-ORG
SECOND,L-ORG
PARTY,O
(,O
which,O
expression,O
shall,O
mean,O
and,O
include,O
unless,O
excluded,O
by,O
or,O
repugnant,O
to,O
the,O
context,O
its,O
office,O
bearers,O
',',O
successors,O
in,O
office,O
',',O
successors,O
in,O
interest,O
and,O
assigns,O
),O
