words,tags
LEASE,O
AGREEMENT,O
This,O
DEED,O
OF,O
RENTAL,O
AGREEMENT,O
EXECUTED,O
AT,O
LANGKAWI,U-PER
',',O
KEDAH,B-PER
DARUL,I-PER
AMAN,L-PER
MALAYSIA,U-LOC
ON,O
15,O
SEPTEMBER,O
2012,O
between,O
ROHANI,B-PER
BINTI,I-PER
ISMAIL,L-PER
',',O
MALAYSIAN,B-ORG
I.C.,L-ORG
NO,O
.,O
621118025556,O
who,O
is,O
the,O
absolute,O
owner,O
of,O
the,O
building,O
bearing,O
[,O
NO,O
.,O
73,O
A,O
',',O
KG,O
.,O
BUKIT,B-PER
NAU,L-PER
',',O
PADANG,U-PER
MATSIRAT,O
07100,O
LANGKAWI,U-PER
],O
hereafter,O
called,O
the,O
FIRST,O
PARTY,O
OF,O
ONE,O
PART,O
.,O
AND,O
[,O
SECOND,O
PARTY,O
NAME,O
],O
[,O
NAME,O
],O
[,O
ADDRESS,O
],O
.,O
Hereafter,O
called,O
THE,O
SECOND,O
PARTY,O
OF,O
OTHER,O
PART,O
WITNESSETH,O
as,O
follows,O
.,O
Whereas,O
THE,O
PREMISE,O
-,O
[,O
NO,O
.,O
73,O
A,O
',',O
KG.BUKIT,O
NAU,O
.PADANG,O
MATSIRAT,U-PER
07100,O
',',O
LANGKAWI,U-PER
',',O
KEDAH,B-PER
DARUL,I-PER
AMAN,L-PER
],O
is,O
absolutely,O
owned,O
by,O
the,O
FIRST,O
PARTY,O
herein,O
and,O
',',O
WHEREAS,O
THE,O
SECOND,O
PARTY,O
approached,O
the,O
FIRST,O
PARTY,O
and,O
requested,O
her,O
to,O
let,O
out,O
the,O
above,O
said,O
premises,O
on,O
monthly,O
rent,O
for,O
residing,O
purpose,O
',',O
the,O
FIRST,O
PARTY,O
agreed,O
to,O
let,O
out,O
the,O
above,O
said,O
premises,O
under,O
the,O
terms,O
and,O
conditions,O
hereinafter,O
stated:-,O
The,O
tenancy,O
shall,O
begin,O
from,O
01.09.2012,O
and,O
shall,O
before,O
a,O
duration,O
of,O
12,O
months,O
i.e.,O
01.09.2012,O
to,O
31.08.2013,O
.,O
The,O
monthly,O
rent,O
shall,O
be,O
RM600,O
-,O
00(Ringgit,O
Malaysia,U-LOC
Six,O
Hundreds,O
Only,O
),O
Per,O
Month,O
and,O
payable,O
by,O
the,O
SECOND,O
PARTY,O
during,O
the,O
course,O
of,O
FIRST,O
WEEK,O
of,O
every,O
month,O
.,O
The,O
FIRST,O
PARTY,O
acknowledges,O
the,O
receipt,O
of,O
RM1700.00,O
(,O
Ringgit,B-MISC
Malaysia,I-MISC
One,I-MISC
Thousand,I-MISC
Seven,L-MISC
Hundreds,O
Only,O
),O
paid,O
by,O
the,O
SECOND,O
PARTY,O
in,O
cash,O
on,O
signing,O
of,O
the,O
rental,O
agreement,O
.,O
This,O
amount,O
shall,O
be,O
treated,O
as,O
house,O
deposit,O
(,O
RM600,O
-,O
00,O
),O
',',O
electricity,O
-,O
water,O
deposit,O
(,O
RM500,O
-,O
00,O
),O
and,O
first,O
monthly,O
rental,O
payment(RM600,O
-,O
00,O
),O
.,O
The,O
house,O
deposit,O
and,O
electricity,O
-,O
water,O
deposit,O
shall,O
be,O
returned,O
to,O
the,O
SECOND,O
PARTY,O
on,O
his,O
vacation,O
of,O
the,O
premises,O
',',O
after,O
deducting,O
all,O
the,O
amounts,O
due,O
and,O
payable,O
if,O
any,O
by,O
the,O
SECOND,O
PARTY,O
to,O
the,O
FIRST,O
PARTY,O
on,O
the,O
date,O
of,O
the,O
vacation,O
of,O
the,O
premises,O
by,O
the,O
SECOND,O
PARTY,O
.,O
This,O
amount,O
dies,O
not,O
carry,O
any,O
interest,O
.,O
The,O
SECOND,O
PARTY,O
further,O
agrees,O
to,O
use,O
the,O
premises,O
for,O
his,O
own,O
residing,O
purpose,O
only,O
and,O
shall,O
not,O
sublet,O
the,O
same,O
or,O
assign,O
his,O
rights,O
of,O
tenancy,O
to,O
third,O
parties,O
without,O
written,O
permission,O
from,O
the,O
FIRST,O
PARTY,O
.,O
The,O
SECOND,O
PARTY,O
further,O
agrees,O
to,O
bear,O
the,O
charges,O
connected,O
with,O
the,O
electricity,O
consumes,O
by,O
him,O
and,O
also,O
water,O
charges,O
etc,O
.,O
and,O
agrees,O
to,O
pay,O
the,O
same,O
along,O
with,O
the,O
monthly,O
rent,O
on,O
monthly,O
basis,O
.,O
The,O
SECOND,O
PARTY,O
shall,O
not,O
make,O
any,O
structural,O
alteration,O
to,O
the,O
premises,O
or,O
put,O
up,O
partition,O
wall,O
etc,O
.,O
without,O
written,O
permission,O
from,O
the,O
FIRST,O
PARTY,O
and,O
shall,O
use,O
the,O
premises,O
prudently,O
without,O
causing,O
damage,O
or,O
deterioration,O
to,O
the,O
building,O
and,O
hand,O
over,O
the,O
premises,O
at,O
the,O
expiry,O
of,O
the,O
lease,O
period,O
to,O
the,O
FIRST,O
PARTY,O
and,O
receive,O
back,O
the,O
deposit,O
amount,O
RM1100.00(RINGGIT,O
MALAYSIA,O
ONE,O
THOUSAND,O
AND,O
ONE,O
HUNDREDS,O
),O
after,O
due,O
deductions,O
of,O
the,O
money,O
due,O
and,O
payable,O
if,O
any,O
be,O
the,O
SECOND,O
PARTY,O
.,O
It,O
is,O
definitely,O
understood,O
between,O
the,O
parties,O
under,O
this,O
contact,O
that,O
irrespective,O
of,O
the,O
time,O
stipulated,O
under,O
this,O
lease,O
agreement,O
',',O
if,O
the,O
SECOND,O
PARTY,O
commits,O
',',O
default,O
in,O
paying,O
the,O
monthly,O
rent,O
for,O
continuous,O
period,O
of,O
one,O
month,O
',',O
the,O
FIRST,O
PARTY,O
is,O
at,O
liberty,O
to,O
terminate,O
the,O
RENTAL,B-MISC
AGREEMENT,L-MISC
unilaterally,O
without,O
giving,O
notice,O
to,O
the,O
SECOND,O
PARTY,O
and,O
resume,O
possession,O
of,O
the,O
premises,O
and,O
return,O
the,O
deposit,O
amount,O
without,O
interest,O
after,O
deduction,O
of,O
amounts,O
due,O
and,O
payable,O
by,O
the,O
SECOND,O
PARTY,O
including,O
all,O
the,O
damages,O
and,O
other,O
expenses,O
sustained,O
by,O
the,O
FIRST,O
PARTY,O
in,O
getting,O
the,O
vacant,O
possession,O
of,O
the,O
premises,O
.,O
The,O
SECOND,O
PARTY,O
shall,O
enjoy,O
the,O
peaceful,O
occupation,O
of,O
the,O
premises,O
and,O
maintain,O
the,O
same,O
in,O
reasonable,O
good,O
the,O
habitable,O
condition,O
.,O
In,O
case,O
',',O
the,O
SECOND,B-ORG
PARTY,L-ORG
desires,O
to,O
vacate,O
the,O
premises,O
he,O
should,O
give,O
notice,O
of,O
ONE,O
calendar,O
month,O
in,O
writing,O
and,O
similarly,O
the,O
FIRST,O
PARTY,O
should,O
give,O
ONE,O
month,O
notice,O
in,O
writing,O
.,O
The,O
owner,O
will,O
have,O
right,O
to,O
enter,O
the,O
let,O
out,O
built,O
in,O
area,O
for,O
verification,O
or,O
inspection,O
of,O
this,O
structure,O
at,O
reasonable,O
times,O
and,O
carry,O
out,O
repairs,O
in,O
necessary,O
.,O
2-,O
Signature,O
of,O
witness,O
:,O
