words,tags
RENTAL,O
AGREEMENT,O
This,O
agreement,O
of,O
Tenancy,O
is,O
made,O
and,O
executed,O
at,O
Chennai,U-LOC
on,O
1st,O
day,O
of,O
September,O
2011,O
(,O
1,O
-,O
3,O
-,O
2011,O
),O
BETWEEN,O
k,O
.,O
Sarguneswaran,U-LOC
',',O
s,O
/,O
o,O
G.Kasinath,B-PER
Rao,L-PER
aged,O
about,O
54,O
years,O
residing,O
at,O
No,O
:,O
20/3,O
',',O
Venkateswara,B-LOC
nagar,L-LOC
',',O
IstMain,U-LOC
road,O
',',O
Velachery,U-LOC
',',O
Chennai,U-LOC
-,O
42,O
',',O
Tamil,B-LOC
Nadu,L-LOC
.,O
Hereinafter,O
referred,O
as,O
the,O
OWNER,O
.,O
AND,O
R.Mathankumar,U-LOC
s,O
/,O
o,O
Ramasamy,U-LOC
aged,O
28,O
years,O
New,U-LOC
No:88(01d,O
No:62,O
),O
',',O
Madha,B-LOC
kovil,L-LOC
street,O
',',O
Ganesapuram,U-LOC
',',O
Namakkal-,U-LOC
637001,O
.,O
Hereinafter,U-LOC
referred,O
as,O
the,O
TENANT,U-MISC
.,O
whereas,O
',',O
the,O
Tenant,U-ORG
has,O
requested,O
the,O
Owner,O
',',O
to,O
let,O
out,O
the,O
premises,O
bearing,O
address,O
:,O
No,O
20/3,O
',',O
Venkateswara,B-LOC
nagar,L-LOC
',',O
1st,B-LOC
Main,L-LOC
road,O
',',O
Velachery,U-LOC
',',O
Chennai,U-LOC
-,O
42,O
',',O
Tamil,B-LOC
Nadu,L-LOC
.,O
In,O
consideration,O
of,O
the,O
rent,O
hereinafter,O
reserved,O
and,O
the,O
conditions,O
hereinafter,O
stated,O
.,O
Now,O
this,O
agreement,O
witnesses,O
as,O
follows,O
:,O
The,O
Tenant,O
shall,O
pay,O
a,O
monthly,O
rent,O
of,O
Rs,O
.,O
7200,O
(,O
Seven,O
thousand,O
and,O
two,O
hundred,O
only,O
),O
on,O
or,O
before,O
5,O
th,O
day,O
of,O
every,O
month,O
.,O
The,O
Tenant,O
has,O
deposited,O
with,O
Owner,O
Rs.40,O
',',O
000,O
(,O
Forty,O
thousand,O
),O
as,O
advance,O
and,O
security,O
deposit,O
which,O
the,O
Owner,U-ORG
hereby,O
acknowledges,O
the,O
said,O
sum,O
shall,O
carry,O
no,O
interest,O
but,O
refundable,O
to,O
the,O
Tenant,U-ORG
on,O
the,O
termination,O
of,O
the,O
tenancy,O
.,O
The,O
tenancy,O
shall,O
be,O
in,O
force,O
for,O
a,O
period,O
of,O
eleven,O
months,O
from,O
the,O
above,O
said,O
date,O
',',O
and,O
the,O
month,O
of,O
tenancy,O
being,O
the,O
English,U-MISC
calendar,O
month,O
.,O
The,O
Owner,O
shall,O
have,O
the,O
right,O
to,O
terminate,O
the,O
tenancy,O
if,O
the,O
Tenant,U-ORG
fails,O
to,O
pay,O
the,O
rent,O
regularly,O
for,O
a,O
consecutive,O
period,O
of,O
two,O
or,O
more,O
months,O
',',O
or,O
commits,O
breach,O
of,O
any,O
of,O
the,O
terms,O
herein,O
.,O
The,O
Tenant,O
shall,O
use,O
the,O
premises,O
only,O
for,O
residential,O
purpose,O
and,O
shall,O
not,O
use,O
it,O
for,O
any,O
offensive,O
or,O
objectionable,O
purpose,O
',',O
and,O
shall,O
not,O
any,O
consent,O
of,O
the,O
Owner,U-ORG
hereby,O
a,O
sublet,O
under,O
lease,O
or,O
part,O
the,O
possession,O
of,O
the,O
any,O
whomsoever,O
or,O
make,O
any,O
alteration,O
therein,O
.,O
The,O
Owner,O
shall,O
allow,O
the,O
Tenant,U-MISC
peaceful,O
possession,O
of,O
any,O
enjoyment,O
of,O
the,O
premises,O
during,O
the,O
continuance,O
of,O
tenancy,O
provided,O
the,O
Tenant,U-ORG
acts,O
up,O
to,O
the,O
terms,O
of,O
this,O
agreement,O
.,O
The,O
Tenant,U-ORG
shall,O
not,O
cause,O
any,O
damage,O
to,O
the,O
fixed,O
fixtures,O
on,O
the,O
above,O
said,O
property,O
.,O
Any,O
damage,O
cause,O
shall,O
be,O
repaired,O
at,O
the,O
cost,O
of,O
the,O
Tenant,U-ORG
.,O
The,O
Tenant,U-ORG
shall,O
pay,O
electricity,O
bill,O
of,O
Rs,O
4,O
/,O
unit,O
(,O
Four,O
only,O
),O
separately,O
.,O
It,O
is,O
hereby,O
agreed,O
that,O
one,O
month,O
notice,O
on,O
either,O
side,O
is,O
required,O
for,O
the,O
termination,O
of,O
the,O
tenancy,O
The,O
tenancy,O
shall,O
be,O
renewed,O
for,O
further,O
period,O
/,O
s,O
mutually,O
agreed,O
between,O
parties,O
on,O
the,O
terms,O
and,O
conditions,O
.,O
Fittings,O
:,O
Tube,B-MISC
Lights,L-MISC
:,O
2,O
',',O
Fans,O
:,O
2,O
.,O
in,O
witnesses,O
whereof,O
the,O
parties,O
have,O
set,O
their,O
respective,O
hands,O
onto,O
this,O
agreement,O
',',O
of,O
the,O
day,O
',',O
the,O
month,O
&,O
the,O
year,O
first,O
above,O
written,O
.,O
Witnesses,O
:,O
1,O
.,O
Owner,O
Tenant,O
